gene	GFP_rep1	GFP_rep2	GFP_rep3	WT_rep1	WT_rep2	WT_rep3	DA_rep1	DA_rep2	DA_rep3
ENSG00000000003	1438	1244	1139	2666	2688	2214	3624	4669	4864
ENSG00000000005	0	1	0	1	0	0	1	2	4
ENSG00000000419	435	477	500	1079	1445	1180	1261	1939	2055
ENSG00000000457	138	133	190	403	340	333	532	676	706
ENSG00000000460	350	233	274	660	614	500	849	1074	1059
ENSG00000000938	1	0	0	2	0	1	2	1	3
ENSG00000000971	2	0	4	2	3	0	9	8	7
ENSG00000001036	439	304	351	605	613	529	869	1077	1147
ENSG00000001084	291	211	243	468	434	422	596	738	742
ENSG00000001167	584	515	480	1005	1178	969	1557	1858	2048
ENSG00000001460	51	55	44	99	103	100	143	160	212
ENSG00000001461	165	147	153	316	322	292	538	590	580
ENSG00000001497	775	679	709	1265	1173	1220	1897	2210	2335
ENSG00000001561	407	331	360	839	751	602	985	1416	1249
ENSG00000001617	4	11	4	20	8	13	14	17	22
ENSG00000001626	0	0	0	1	2	1	6	2	3
ENSG00000001629	382	295	373	795	752	648	1000	1250	1261
ENSG00000001630	5	8	4	19	10	10	21	21	25
ENSG00000001631	414	392	413	802	931	860	996	1466	1452
ENSG00000002016	76	84	109	176	147	166	244	319	360
ENSG00000002079	0	0	0	1	1	1	6	5	0
ENSG00000002330	21	17	14	20	28	15	30	48	39
ENSG00000002549	478	382	346	580	561	595	855	1154	1165
ENSG00000002586	273	229	150	312	294	312	512	556	611
ENSG00000002587	2	0	0	1	1	0	4	1	1
ENSG00000002726	0	0	0	2	0	0	0	1	4
ENSG00000002745	0	1	1	1	1	1	1	0	3
ENSG00000002746	8	7	7	11	15	18	20	32	34
ENSG00000002822	149	122	130	235	177	200	343	353	418
ENSG00000002834	145	140	112	260	229	223	438	521	550
ENSG00000002919	51	47	53	96	77	67	166	151	164
ENSG00000002933	0	0	0	1	0	0	2	0	0
ENSG00000003056	689	496	579	1307	1212	998	2044	2161	2221
ENSG00000003096	120	74	88	186	188	176	372	450	374
ENSG00000003137	8	8	4	24	22	20	25	40	38
ENSG00000003147	65	58	48	107	131	121	155	198	209
ENSG00000003249	54	39	46	68	69	69	112	128	150
ENSG00000003393	376	333	337	644	653	641	943	1084	1272
ENSG00000003400	28	22	20	51	72	59	86	111	110
ENSG00000003402	223	226	196	484	455	482	659	888	825
ENSG00000003436	132	124	106	291	210	214	275	397	374
ENSG00000003509	254	219	236	388	386	360	469	624	712
ENSG00000003756	777	615	732	1190	1192	1222	1688	2215	2381
ENSG00000003987	58	39	36	84	91	93	121	153	154
ENSG00000003989	438	306	339	647	701	575	851	1076	1190
ENSG00000004059	40	31	24	52	38	56	81	78	114
ENSG00000004139	30	23	34	45	58	58	91	89	95
ENSG00000004142	248	203	152	320	345	340	560	542	630
ENSG00000004399	78	66	61	91	78	105	182	192	219
ENSG00000004455	1616	1235	1242	2549	2596	2215	3942	4318	4550
ENSG00000004468	0	0	5	2	3	2	5	5	6
ENSG00000004478	1469	997	1073	1971	1854	1816	3454	3582	3976
ENSG00000004487	1071	854	777	1438	1490	1531	2159	2859	3084
ENSG00000004534	757	699	842	1440	1372	1374	2096	2673	2962
ENSG00000004660	45	39	40	50	47	55	83	66	113
ENSG00000004700	789	644	655	1413	1466	1272	1606	2167	2331
ENSG00000004766	406	414	340	669	747	635	766	1150	1148
ENSG00000004776	5	4	4	8	3	9	6	11	19
ENSG00000004777	10	5	4	4	5	10	10	10	21
ENSG00000004779	1312	1227	962	1698	2412	1824	2427	3297	3632
ENSG00000004799	77	65	83	143	138	126	147	201	211
ENSG00000004809	0	0	0	1	2	0	3	1	0
ENSG00000004838	7	6	4	12	17	12	13	19	15
ENSG00000004846	1	0	1	3	1	4	5	3	3
ENSG00000004848	0	4	1	0	1	2	11	5	11
ENSG00000004864	390	319	340	546	640	644	889	1105	1168
ENSG00000004866	104	78	111	168	175	138	255	322	296
ENSG00000004897	1715	1332	1459	2806	2938	2623	3501	4894	5063
ENSG00000004939	0	0	0	0	0	0	1	3	2
ENSG00000004948	1	7	2	13	4	5	13	20	16
ENSG00000004961	475	406	336	646	784	725	919	1260	1391
ENSG00000004975	160	111	96	184	230	195	357	365	430
ENSG00000005001	0	0	0	0	0	1	2	0	2
ENSG00000005007	195	146	188	302	312	307	525	545	641
ENSG00000005020	347	305	293	539	609	598	670	972	1027
ENSG00000005022	2609	1670	1459	3142	3181	2490	4355	5102	4987
ENSG00000005059	211	170	140	311	342	346	363	492	544
ENSG00000005073	82	65	67	158	170	170	256	277	297
ENSG00000005075	211	199	185	250	351	325	407	563	790
ENSG00000005100	553	436	439	779	885	794	1345	1505	1544
ENSG00000005102	1	3	4	8	2	5	6	10	12
ENSG00000005108	7	4	7	11	11	13	13	15	26
ENSG00000005156	311	256	257	543	502	446	823	1007	1023
ENSG00000005175	535	535	480	1024	1107	1000	1253	1796	1613
ENSG00000005187	18	20	15	21	23	23	29	42	36
ENSG00000005189	125	121	135	256	187	188	312	420	394
ENSG00000005194	167	89	99	230	204	196	471	412	395
ENSG00000005206	17	7	22	43	31	28	75	60	81
ENSG00000005238	4	5	3	10	14	9	20	16	21
ENSG00000005243	2	3	2	5	2	5	10	7	8
ENSG00000005249	390	266	238	524	641	528	673	1030	993
ENSG00000005302	241	187	175	393	423	351	500	658	702
ENSG00000005339	609	617	610	1133	1217	1233	1800	2169	2356
ENSG00000005379	1	0	2	4	0	1	2	4	4
ENSG00000005381	0	0	0	1	1	3	0	4	2
ENSG00000005421	0	0	0	0	0	1	1	1	1
ENSG00000005436	495	481	446	839	844	761	931	1438	1389
ENSG00000005448	146	116	83	187	191	153	617	293	340
ENSG00000005469	93	78	101	212	215	198	242	332	319
ENSG00000005471	19	11	23	26	45	30	43	75	60
ENSG00000005483	833	748	824	1570	1556	1434	1791	2580	2588
ENSG00000005486	33	31	34	47	54	56	102	85	93
ENSG00000005513	15	4	4	11	11	4	18	20	18
ENSG00000005700	786	680	707	1557	1524	1315	1823	2540	2644
ENSG00000005801	509	635	604	1053	1144	964	1281	2021	2141
